SentenceNo,concept,CTNo,path,sentence,srcterm,dstterm
Sentence1,object1,CT1,dobj->,APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the,access ,SYSTEM token
Sentence1,object1,CT2,dobj->amod->,APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the,access ,SYSTEM token
Sentence2,object1,CT1,dobj->compound->,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,obtains ,user tokens
Sentence2,object1,CT2,dobj->,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,obtains ,user tokens
Sentence2,object2,CT1,nmod:from->amod->,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,obtains ,interactive sessions
Sentence2,object2,CT2,nmod:from->,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,obtains ,interactive sessions
Sentence2,goal1,CT1,advcl:to->,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,obtains ,execute itself
Sentence2,goal1,CT2,advcl:to->dobj->,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,obtains ,execute itself
Sentence2,goal2,CT2,advcl:to->nmod:under->,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,obtains ,user's context
Sentence3,object1,CT1,dobj->compound->,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials.,steal ,access tokens
Sentence3,object1,CT2,dobj->,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials.,steal ,access tokens
Sentence3,object2,CT1,advcl:from->,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials.,steal ,exiting processes
Sentence3,object2,CT2,advcl:from->dobj->,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials.,steal ,exiting processes
Sentence5,object1,CT1,dobj->,It can also steal tokens to acquire administrative privileges.,steal ,tokens
Sentence5,goal1,CT1,advcl:to->,It can also steal tokens to acquire administrative privileges.,steal ,acquire administrative privileges
Sentence5,goal1,CT2,advcl:to->dobj->amod->,It can also steal tokens to acquire administrative privileges.,steal ,acquire administrative privileges
Sentence5,goal1,CT3,advcl:to->dobj->,It can also steal tokens to acquire administrative privileges.,steal ,acquire administrative privileges
Sentence6,object1,CT2,dobj->,Hydraq creates a backdoor through which remote attackers can adjust token privileges.,adjust ,oken privileges
Sentence7,object1,CT1,conj:and-u->dobj-u->compound-u->,PowerSploit's Invoke-TokenManipulation Exfiltration module can be used to locate and impersonate user logon tokens.,impersonate ,user logon tokens
Sentence7,object1,CT2,conj:and-u->dobj-u->compound-u->,PowerSploit's Invoke-TokenManipulation Exfiltration module can be used to locate and impersonate user logon tokens.,impersonate ,user logon tokens
Sentence7,object1,CT3,conj:and-u->dobj-u->,PowerSploit's Invoke-TokenManipulation Exfiltration module can be used to locate and impersonate user logon tokens.,impersonate ,user logon tokens
Sentence8,object1,CT1,dobj->compound->,Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.,selecting ,process tokens
Sentence8,object1,CT2,dobj->,Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.,selecting ,process tokens
Sentence8,goal1,CT1,advcl:to->,Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.,selecting ,impersonate
Sentence9,object1,CT1,dobj->,SslMM contains a feature to manipulate process privileges and tokens.,manipulate ,tokens
Sentence10,object1,CT1,dobj->,APT29 used sticky-keys to obtain unauthenticated, privileged console access.,used ,sticky-keys
Sentence10,goal1,CT1,advcl:to->,APT29 used sticky-keys to obtain unauthenticated, privileged console access.,used ,obtain unauthenticated privileged console access
Sentence10,goal1,CT2,advcl:to->dobj->amod->,APT29 used sticky-keys to obtain unauthenticated, privileged console access.,used ,obtain unauthenticated privileged console access
Sentence10,goal1,CT3,advcl:to->dobj->amod->dep->,APT29 used sticky-keys to obtain unauthenticated, privileged console access.,used ,obtain unauthenticated privileged console access
Sentence10,goal1,CT4,advcl:to->dobj->compound->,APT29 used sticky-keys to obtain unauthenticated, privileged console access.,used ,obtain unauthenticated privileged console access
Sentence10,goal1,CT5,advcl:to->dobj->,APT29 used sticky-keys to obtain unauthenticated, privileged console access.,used ,obtain unauthenticated privileged console access
Sentence11,object1,CT1,dobj->compound->,APT3 replaces the Sticky Keys binary path for persistence.,replaces ,Sticky Keys binary path
Sentence11,object1,CT2,dobj->compound->,APT3 replaces the Sticky Keys binary path for persistence.,replaces ,Sticky Keys binary path
Sentence11,object1,CT3,dobj->amod->,APT3 replaces the Sticky Keys binary path for persistence.,replaces ,Sticky Keys binary path
Sentence11,object1,CT4,dobj->,APT3 replaces the Sticky Keys binary path for persistence.,replaces ,Sticky Keys binary path
Sentence11,goal1,CT1,dobj->nmod:for->,APT3 replaces the Sticky Keys binary path for persistence.,replaces ,persistence
Sentence12,object1,CT1,dobj->compound->,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,use ,Sticky Keys replacement
Sentence12,object1,CT2,dobj->compound->,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,use ,Sticky Keys replacement
Sentence12,object1,CT3,dobj->,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,use ,Sticky Keys replacement
Sentence12,object2,CT1,dobj->nmod:within->compound->,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,use ,RDP sessions
Sentence12,object2,CT2,dobj->nmod:within->,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,use ,RDP sessions
Sentence12,goal1,CT1,advcl:to->,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,use ,obtain persistence
Sentence12,goal1,CT2,advcl:to->dobj->,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,use ,obtain persistence
Sentence13,object1,CT1,dobj->compound->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,sticky-keys technique
Sentence13,object1,CT2,dobj->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,sticky-keys technique
Sentence13,goal1,CT1,advcl:to->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,bypass the RDP login screen
Sentence13,goal1,CT2,dobj->det->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,bypass the RDP login screen
Sentence13,goal1,CT3,advcl:to->dobj->compound->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,bypass the RDP login screen
Sentence13,goal1,CT4,advcl:to->dobj->compound->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,bypass the RDP login screen
Sentence13,goal1,CT5,advcl:to->dobj->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,bypass the RDP login screen
Sentence13,goal2,CT1,advcl:to->nmod:on->amod->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,remote systems
Sentence13,goal2,CT2,advcl:to->nmod:on->,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,used ,remote systems
Sentence14,object1,CT1,dobj->,APT3 has used a tool that can obtain info about local and global group users, power users, and administrators.,obtain ,info
Sentence14,object2,CT1,dobj->nmod:about->amod->,APT3 has used a tool that can obtain info about local and global group users, power users, and administrators.,obtain ,local
Sentence15,object1,CT1,dobj->amod->,BRONZE BUTLER has used net user /domain to identify account information.,used ,net user
Sentence15,object1,CT2,dobj->,BRONZE BUTLER has used net user /domain to identify account information.,used ,net user
Sentence15,goal1,CT1,advcl:to->,BRONZE BUTLER has used net user /domain to identify account information.,used ,identify account information
Sentence15,goal1,CT2,advcl:to->dobj->compound->,BRONZE BUTLER has used net user /domain to identify account information.,used ,identify account information
Sentence15,goal1,CT3,advcl:to->dobj->,BRONZE BUTLER has used net user /domain to identify account information.,used ,identify account information
Sentence16,object1,CT1,dobj->,FIN6 has used Metasploitâ€™s PsExec NTDSGRAB module to obtain a copy of the victim's Active Directory database.,obtain ,copy
Sentence17,object1,CT1,dobj->compound->,Ke3chang performs account discovery using commands such as net on specific permissions groups.,performs ,account discovery
Sentence17,object1,CT2,dobj->,Ke3chang performs account discovery using commands such as net on specific permissions groups.,performs ,account discovery
Sentence17,object2,CT1,dobj->acl->dobj->,Ke3chang performs account discovery using commands such as net on specific permissions groups.,performs ,commands
Sentence18,object1,CT1,dobj->amod->,OilRig has run net user to get account listings on a victim.,run ,net user
Sentence18,object1,CT2,dobj->,OilRig has run net user to get account listings on a victim.,run ,net user
Sentence18,goal1,CT1,advcl:to->,OilRig has run net user to get account listings on a victim.,run ,get account listings
Sentence18,goal1,CT2,advcl:to->dobj->compound->,OilRig has run net user to get account listings on a victim.,run ,get account listings
Sentence18,goal1,CT3,advcl:to->dobj->,OilRig has run net user to get account listings on a victim.,run ,get account listings
Sentence18,goal2,CT1,advcl:to->nmod:on->,OilRig has run net user to get account listings on a victim.,run ,victim
