Access Token Manipulation,Defense Evasion,T1134
Accessibility Features,Persistence;;Privilege Escalation,T1015
Account Discovery,Discovery,T1087
Account Manipulation,Credential Access,T1098
AppCert DLLs,Persistence,T1182
AppInit DLLs,Persistence;;Privilege Escalation,T1103
AppleScript,Execution,T1155
Application Deployment Software,Lateral Movement,T1017
Application Shimming,Persistence,T1138
Application Window Discovery,Discovery,T1010
Audio Capture,Collection,T1123
Authentication Package,Persistence,T1131
Automated Collection,Collection,T1119
Automated Exfiltration,Exfiltration,T1020
Bash History,Credential Access,T1139
Binary Padding,Defense Evasion,T1009
BITS Jobs,Defense Evasion,T1197
Bootkit,Persistence,T1067
Browser Bookmark Discovery,Discovery,T1217
Browser Extensions,Persistence,T1176
Brute Force,Credential Access,T1110
Bypass User Account Control,Defense Evasion;;Privilege Escalation,T1088
Change Default File Association,Persistence,T1042
Clear Command History,Defense Evasion,T1146
Clipboard Data,Collection,T1115
CMSTP,Defense Evasion,T1191
Code Signing,Defense Evasion,T1116
Command-Line Interface,Execution,T1059
Commonly Used Port,Command and Control,T1043
Communication Through Removable Media,Command and Control,T1092
Component Firmware,Defense Evasion;Persistence,T1109
Component Object Model Hijacking,Defense Evasion;;Persistence,T1122
Connection Proxy,Command and Control,T1090
Control Panel Items,Defense Evasion,T1196
Create Account,Persistence,T1136
Credential Dumping,Credential Access,T1003
Credentials in Files,Credential Access,T1081
Credentials in Registry,Credential Access,T1214
Custom Command and Control Protocol,Command and Control,T1094
Custom Cryptographic Protocol,Command and Control,T1024
Data Compressed,Exfiltration,T1002
Data Encoding,Command and Control,T1132
Data Encrypted,Exfiltration,T1022
Data from Information Repositories,Collection,T1213
Data from Local System,Collection,T1005
Data from Network Shared Drive,Collection,T1039
Data from Removable Media,Collection,T1025
Data Obfuscation,Command and Control,T1001
Data Staged,Collection,T1074
Data Transfer Size Limits,Exfiltration,T1030
DCShadow,Defense Evasion,T1207
Deobfuscate/Decode Files or Information,Defense Evasion,T1140
Disabling Security Tools,Defense Evasion,T1089
Distributed Component Object Model,Lateral Movement,T1175
DLL Search Order Hijacking,Defense Evasion;;Persistence;;Privilege Escalation,T1038
DLL Side-Loading,Defense Evasion,T1073
Domain Fronting,Command and Control,T1172
Drive-by Compromise,Initial Access,T1189
Dylib Hijacking,Persistence,T1157
Dynamic Data Exchange,Execution,T1173
Email Collection,Collection,T1114
Execution through API,Execution,T1106
Execution through Module Load,Execution,T1129
Exfiltration Over Alternative Protocol,Exfiltration,T1048
Exfiltration Over Command and Control Channel,Exfiltration,T1041
Exfiltration Over Other Network Medium,Exfiltration,T1011
Exfiltration Over Physical Medium,Exfiltration,T1052
Exploit Public-Facing Application,Initial Access,T1190
Exploitation for Client Execution,Execution,T1203
Exploitation for Credential Access,Credential Access,T1212
Exploitation for Defense Evasion,Defense Evasion,T1211
Exploitation for Privilege Escalation,Privilege Escalation;;Defense Evasion;;Lateral Movement;;Privilege Escalation,T1068
Exploitation of Remote Services,Lateral Movement,T1210
External Remote Services,Persistence,T1133
Extra Window Memory Injection,Defense Evasion,T1181
Fallback Channels,Command and Control,T1008
File and Directory Discovery,Discovery,T1083
File Deletion,Defense Evasion,T1107
File System Logical Offsets,Defense Evasion,T1006
